name,type,phone,address,hours,latitude,longitude,category_id,google_maps_url
Bravo Ağa Nemətulla küç.,Ekspres,+994 12 525 20 08,Ağa Nemətulla küçəsi 209,07:00 - 02:00,40.407623,49.868450,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.407623,49.868450&travelmode=driver"
"Bravo ""Qurtuluş"" yaşayış kompleksi -1",Ekspres,+994 12 525 20 08,"Masazır qəsəbəsi, İstiqlaliyyət küçəsi",07:00 - 23:00,40.490860,49.754726,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.490860,49.754726&travelmode=driver"
Bravo Səid Rüstəmov küç.,Ekspres,+994 12 525 20 08,"Səbail rayonu, Həsən Abdullayev küçəsi",07:00 - 00:00,40.368454,49.829170,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368454,49.829170&travelmode=driver"
Bravo Hövsan,Ekspres,+994 12 525 20 08,"Hövsan qəsəbəsi, İlqar Əhlimanov küçasi 159D",07:00 - 23:00,40.360592,50.078354,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.360592,50.078354&travelmode=driver"
Bravo Xırdalan -2,Ekspres,+994 12 525 20 08,"Xırdalan şəhəri, Heydər Əliyev prospekti 240",08:00 - 02:00,40.455780,49.736412,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.455780,49.736412&travelmode=driver"
Bravo Üzeyir Hacıbəyov küç.,Ekspres,+994 12 525 20 08,"Səbail rayonu, Səməd Vurğun küçəsi 3",24/7,40.371468,49.842682,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.371468,49.842682&travelmode=driver"
Bravo Əhmədli m/s,Ekspres,+994 12 525 20 08,"Xətai rayonu, Məhəmməd Hadi küçəsi182",07:00-02:00,40.385784,49.953472,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385784,49.953472&travelmode=driver"
Bravo Maştağa,Ekspres,+994 12 525 20 08,"Maştağa qəsəbəsi, Nizami küçəsi 97",08:00 - 23:00,40.531670,49.991234,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.531670,49.991234&travelmode=driver"
Bravo Buzovna,Ekspres,,"Mərdəkan qəsəbəsi, Buzovna-Mərdəkan yolu",08:00 - 23:00,40.511261,50.140347,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.511261,50.140347&travelmode=driver"
Bravo Binəqədi şossesi,Market,,"Binəqədi qəsəbəsi, Binəqədi şossesi, 1-ci küçə",08:00 - 23:00,40.449390,49.843666,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.449390,49.843666&travelmode=driver"
Bravo Tovuz,Market,,"Tovuz şəhəri, Həzi Aslanov küçəsi",08:00 - 23:00,40.991013,45.615772,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.991013,45.615772&travelmode=driver"
"Bravo Premium ""Sea Breeze""",Premium,,"Nardaran qəsəbəsi, “Sea Breeze” istirahət və yaşayış kompleksi",7/24,40.588493,49.987320,,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.588493,49.987320&travelmode=driver"
"Bravo ""AAAF Park"" yaşayış kompleksi",Ekspres,,"H.Əliyev prospekti 167,  AAAF park yasayis kompleksi 28 saylı küçə, bina 5",07:00 - 23:00,40.459625,49.720074,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.459625,49.720074&travelmode=driver"
Bravo İsmayıl Hidayətzadə,Market,,"Nərimanov rayonu, İsmayıl Hidayətzadə küçəsi ev 130",7/24,40.393917,49.872150,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393917,49.872150&travelmode=driver"
Bravo Xırdalan H.Əliyev pr-2,Market,,"Xırdalan şəhəri, H.Əliyev prospekti 263",07:00 - 00:00,40.463448,49.724785,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.463448,49.724785&travelmode=driver"
Bravo Qədir Məmmədov,Market,,"Xətai rayonu, Qədir Məmmədov 40",08:00 - 02:00,40.368393,49.948143,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368393,49.948143&travelmode=driver"
Bravo A.Abbaszadə küç.,Ekspres,,"Badamdar qəsəbəsi, Abbasqulu Abbaszadə küçəsi 59 A",08:00 - 23:00,40.355026,49.816319,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.355026,49.816319&travelmode=driver"
Bravo Xudu Məmmədov,Market,,"Xətai rayonu, Əhmədli qəsəbəsi, Xudu Məmmədov küçəsi",8:00-23:00,0.000000,0.000000,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=0.000000,0.000000&travelmode=driver"
Bravo Qala yolu,Market,,"Qala qəsəbəsi, 3 Nömrəli Zeytun Savxozunun ərazisi",07:00 - 23:00,40.456032,50.142788,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.456032,50.142788&travelmode=driver"
Bravo Afiyəddin Cəlilov,Ekspres,,,07:00-02:00,40.377525,49.865719,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.377525,49.865719&travelmode=driver"
Bravo Lənkəran,Super,,"Lənkəran rayonu, Şilavar kəndi",08:00 - 23:00,38.757114,48.833950,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=38.757114,48.833950&travelmode=driver"
Bravo Almas İldırım,Market,,,07:00-02:00,40.486629,50.169556,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.486629,50.169556&travelmode=driver"
Bravo Şamaxı,Market,,"Şamaxı şəhəri, Məmməd Əmin Rəsulzadə küçəsi 28,30",24/7,40.641991,48.635811,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.641991,48.635811&travelmode=driver"
Bravo Göyçay,Market,,"Göyçay şəhəri, Nizami küçəsi 214 A",24/7,40.651539,47.750381,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.651539,47.750381&travelmode=driver"
Bravo Zirə,Ekspres,,"Zirə qəsəbəsi, Cəlal Əliyev küçəsi",08:00 - 23:00,40.382217,50.287785,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.382217,50.287785&travelmode=driver"
Bravo Lənkəran Dosa Mall,Market,,"Lənkəran şəhəri, Dosa Mall, Fikrət Məmmədov küçəsi 23",08:00 - 23:00,38.754219,48.852238,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=38.754219,48.852238&travelmode=driver"
Bravo Şuşa,Ekspres,+994 12 404 27 16,"Şuşa şəhəri, Əhməd bəy Ağaoğlu küçəsi",8:00-22:00,39.753689,46.742970,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=39.753689,46.742970&travelmode=driver"
Bravo İsmayıllı,Market,+994 12 404 27 16,"İsmayıllı şəhəri, Nizami Gəncəvi küçəsi",08:00-23:00,40.788719,48.172428,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.788719,48.172428&travelmode=driver"
Bravo- City Park Mall,Market,+994 12 404 27 16,"Ağ şəhər, Babək prospekti və Süleyman Vəzirov küçəsinin kəsişməsi",9:00-22:00,40.389160,49.890148,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.389160,49.890148&travelmode=driver"
